Event 1 BX 0
HwTrack 1 Rinv: 000000000111010, t: 11111111111111, phi: 0000011000001100001, Z0: 00010011110, Q: 0, Sector: 00001, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000000111101, t: 00000000000000, phi: 0001001000001101100, Z0: 00010011011, Q: 1, Sector: 01110, HwValid: 1, BX: 000

Event 49 BX 0
HwTrack 1 Rinv: 000001101010000, t: 11110011000100, phi: 0001011011001110110, Z0: 10000111010, Q: 0, Sector: 10110, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100001110000000, t: 00001101000100, phi: 0000101100100111011, Z0: 10000010001, Q: 1, Sector: 01001, HwValid: 1, BX: 001

Event 50 BX 1
HwTrack 1 Rinv: 000000101101101, t: 00000101001110, phi: 0001101101110010001, Z0: 10000010110, Q: 0, Sector: 00001, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100000101101101, t: 11111010110011, phi: 0000111110000101000, Z0: 10000010111, Q: 1, Sector: 01111, HwValid: 1, BX: 010

Event 51 BX 10
HwTrack 1 Rinv: 000000001101111, t: 00000100100001, phi: 0000011000011110000, Z0: 00000101011, Q: 0, Sector: 00101, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100000001110011, t: 11111011011111, phi: 0001001000011100101, Z0: 00000101001, Q: 1, Sector: 10010, HwValid: 1, BX: 011

Event 52 BX 11
HwTrack 1 Rinv: 000000000111101, t: 00000001010001, phi: 0000100010111100110, Z0: 00000000110, Q: 0, Sector: 00110, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000000111010, t: 11111110101110, phi: 0001010010111111101, Z0: 00000000000, Q: 1, Sector: 10011, HwValid: 1, BX: 100

Event 53 BX 100
HwTrack 1 Rinv: 000000001000100, t: 00000110100110, phi: 0001011100110000011, Z0: 00000111011, Q: 0, Sector: 11001, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000000111110, t: 11111001011001, phi: 0000101100111000001, Z0: 00001000001, Q: 1, Sector: 01100, HwValid: 1, BX: 101

Event 54 BX 101
HwTrack 1 Rinv: 000101001100100, t: 00000001100110, phi: 0001010110010000110, Z0: 00000110010, Q: 0, Sector: 11011, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100101001001011, t: 11111110011100, phi: 0000100101110001011, Z0: 00000101101, Q: 1, Sector: 01110, HwValid: 1, BX: 110

Event 55 BX 110
HwTrack 1 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000
HwTrack 2 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000

Event 56 BX 111
HwTrack 1 Rinv: 000000011000101, t: 11111111001110, phi: 0000110101010110011, Z0: 00001110100, Q: 0, Sector: 00001, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000010111010, t: 00000000110001, phi: 0001100101010000011, Z0: 00001110110, Q: 1, Sector: 01110, HwValid: 1, BX: 000

Event 57 BX 0
HwTrack 1 Rinv: 000001000100111, t: 00001111110100, phi: 0001101001111111110, Z0: 10000100011, Q: 0, Sector: 01011, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100001000110110, t: 11110000001010, phi: 0000111010111000100, Z0: 10000100111, Q: 1, Sector: 11001, HwValid: 1, BX: 001

Event 58 BX 1
HwTrack 1 Rinv: 000001011010000, t: 11101111010000, phi: 0001010101001001010, Z0: 00010100000, Q: 0, Sector: 00111, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100001011100100, t: 00010000101110, phi: 0000100101111010100, Z0: 00010101111, Q: 1, Sector: 10101, HwValid: 1, BX: 010

Event 59 BX 10
HwTrack 1 Rinv: 000001101001001, t: 00010010011111, phi: 0000111000001100110, Z0: 00001101111, Q: 0, Sector: 10111, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100001110000110, t: 11101101100000, phi: 0001101000100110111, Z0: 00001100000, Q: 1, Sector: 01001, HwValid: 1, BX: 011

Event 60 BX 11
HwTrack 1 Rinv: 000000010100110, t: 11110000010110, phi: 0000111100010000011, Z0: 10000000011, Q: 0, Sector: 10000, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000010101111, t: 00001111100110, phi: 0001101100101010100, Z0: 10000001010, Q: 1, Sector: 00010, HwValid: 1, BX: 100

Event 61 BX 100
HwTrack 1 Rinv: 000001001101111, t: 11101101000100, phi: 0000010101111100111, Z0: 10000100011, Q: 0, Sector: 10101, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100001010000010, t: 00010010111010, phi: 0001000110000001001, Z0: 10000010011, Q: 1, Sector: 00111, HwValid: 1, BX: 101

Event 62 BX 101
