Event 1 BX 0
SwTrack 1 pT: 11.5319, eta: 1.76199, phi: -1.67241, sector: 20, Q: 1
SwTrack 2 pT: 11.3577, eta: -1.78008, phi: 1.46912, sector: 7, Q: -1

Event 67 BX 10
SwTrack 1 pT: 14.754, eta: -2.174, phi: 1.84826, sector: 8, Q: 1
SwTrack 2 pT: 14.4935, eta: 2.16961, phi: -1.29199, sector: 22, Q: -1

Event 68 BX 11
SwTrack 1 pT: 127.175, eta: -0.652027, phi: -0.109159, sector: 27, Q: 1
SwTrack 2 pT: 130.862, eta: 0.640786, phi: -3.25074, sector: 14, Q: -1

Event 69 BX 100
SwTrack 1 pT: 18.5791, eta: 1.20017, phi: -2.07328, sector: 19, Q: 1
SwTrack 2 pT: 17.9156, eta: -1.20017, phi: 1.06896, sector: 5, Q: -1

Event 70 BX 101
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 19.5867, eta: 2.42441, phi: 2.20085, sector: 10, Q: -1

Event 71 BX 110
SwTrack 1 pT: 43.2031, eta: -2.13603, phi: -1.1608, sector: 22, Q: 1
SwTrack 2 pT: 42.1936, eta: 2.13238, phi: 1.98065, sector: 9, Q: -1

Event 72 BX 111
SwTrack 1 pT: 48.2859, eta: -1.3317, phi: -0.228985, sector: 27, Q: 1
SwTrack 2 pT: 48.2859, eta: 1.33555, phi: 2.9131, sector: 13, Q: -1

Event 73 BX 0
SwTrack 1 pT: 77.1746, eta: -1.25085, phi: 1.68488, sector: 8, Q: 1
SwTrack 2 pT: 85.9949, eta: 1.24878, phi: -1.45669, sector: 21, Q: -1

Event 74 BX 1
SwTrack 1 pT: 97.0907, eta: -1.31225, phi: -1.38675, sector: 22, Q: 1
SwTrack 2 pT: 94.0571, eta: 1.31421, phi: 1.75465, sector: 8, Q: -1

Event 75 BX 10
SwTrack 1 pT: 49.6125, eta: -1.93854, phi: 2.46916, sector: 11, Q: 1
SwTrack 2 pT: 49.073, eta: 1.93468, phi: -0.671784, sector: 25, Q: -1

Event 76 BX 11
SwTrack 1 pT: 122.02, eta: 0.447777, phi: 1.00429, sector: 5, Q: 1
SwTrack 2 pT: 136.81, eta: -0.449548, phi: -2.13727, sector: 18, Q: -1

Event 77 BX 100
SwTrack 1 pT: 15.4086, eta: -0.446004, phi: -1.62077, sector: 20, Q: 1
SwTrack 2 pT: 14.9742, eta: 0.444229, phi: 1.52075, sector: 7, Q: -1

Event 78 BX 101
SwTrack 1 pT: 90.2942, eta: -0.470706, phi: 1.33671, sector: 6, Q: 1
SwTrack 2 pT: 91.2066, eta: 0.467193, phi: -1.80484, sector: 20, Q: -1

Event 79 BX 110
SwTrack 1 pT: 37.4666, eta: 0.650425, phi: 1.88593, sector: 9, Q: 1
SwTrack 2 pT: 37.6226, eta: -0.648822, phi: -1.25547, sector: 22, Q: -1

Event 80 BX 111
SwTrack 1 pT: 18.1679, eta: -2.14645, phi: -1.1617, sector: 22, Q: 1
SwTrack 2 pT: 17.8448, eta: 2.1383, phi: 1.98054, sector: 9, Q: -1

Event 81 BX 0
SwTrack 1 pT: 85.1833, eta: -1.31714, phi: -1.99876, sector: 19, Q: 1
SwTrack 2 pT: 78.5167, eta: 1.31617, phi: 1.1429, sector: 5, Q: -1

Event 82 BX 1
