Event 1 BX 0
SwMuon 2 pT: 18.5, eta: -1.19625, phi: 1.19991, Q: -1

Event 70 BX 101
SwMuon 1 pT: 40.5, eta: -2.44688, phi: -0.992656, Q: 1
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 71 BX 110
SwMuon 1 pT: 19.5, eta: -2.175, phi: -1.19991, Q: 1
SwMuon 2 pT: 53.5, eta: 2.16412, phi: 1.98531, Q: -1

Event 72 BX 111
SwMuon 1 pT: 140.5, eta: -1.31588, phi: -0.272707, Q: -1
SwMuon 2 pT: 30.5, eta: 1.31588, phi: 2.94524, Q: -1

Event 73 BX 0
SwMuon 1 pT: 200.5, eta: -1.19625, phi: 1.65806, Q: 1
SwMuon 2 pT: 121.5, eta: 1.2615, phi: -1.4399, Q: -1

Event 74 BX 1
SwMuon 1 pT: 200.5, eta: -1.31588, phi: -1.41808, Q: 1
SwMuon 2 pT: 90.5, eta: 1.25063, phi: 1.76715, Q: -1

Event 75 BX 10
SwMuon 1 pT: 79.5, eta: -1.9575, phi: 2.44346, Q: 1
SwMuon 2 pT: 45, eta: 1.92488, phi: -0.64359, Q: -1

Event 76 BX 11
SwMuon 1 pT: 139.5, eta: 0.45675, phi: 0.981748, Q: 1
SwMuon 2 pT: 140, eta: -0.41325, phi: -2.12712, Q: -1

Event 77 BX 100
SwMuon 1 pT: 14.5, eta: -0.511125, phi: -1.79987, Q: 1
SwMuon 2 pT: 15, eta: 0.45675, phi: 1.69079, Q: -1

Event 78 BX 101
SwMuon 1 pT: 105, eta: -0.511125, phi: 1.309, Q: 1
SwMuon 2 pT: 140, eta: 0.489375, phi: -1.77805, Q: -1

Event 79 BX 110
SwMuon 1 pT: 44.5, eta: 0.685125, phi: 1.82169, Q: 1
SwMuon 2 pT: 38.5, eta: -0.641625, phi: -1.18901, Q: -1

Event 80 BX 111
SwMuon 1 pT: 17.5, eta: -2.1315, phi: -1.23264, Q: 1
SwMuon 2 pT: 20.5, eta: 2.16412, phi: 2.01804, Q: -1

Event 81 BX 0
SwMuon 1 pT: 14.5, eta: -1.31588, phi: -2.01804, Q: 1
SwMuon 2 pT: 130.5, eta: 1.32675, phi: 1.14537, Q: -1

Event 82 BX 1
SwMuon 1 pT: 30.5, eta: 1.31588, phi: 2.59618, Q: 1
SwMuon 2 pT: 30.5, eta: -1.31588, phi: -0.458148, Q: -1

Event 83 BX 10
SwMuon 1 pT: 50.5, eta: 1.31588, phi: -0.785398, Q: 1
SwMuon 2 pT: 90.5, eta: -1.31588, phi: 2.42164, Q: -1

Event 84 BX 11
SwMuon 1 pT: 51, eta: 0.728625, phi: -0.796306, Q: -1
SwMuon 2 pT: 7, eta: -0.696, phi: 2.2253, Q: -1

Event 85 BX 100
SwMuon 1 pT: 90.5, eta: 1.31588, phi: -2.26893, Q: 1
SwMuon 2 pT: 90.5, eta: -1.31588, phi: 0.90539, Q: -1

Event 86 BX 101
SwMuon 1 pT: 140, eta: 0, phi: -0.229074, Q: 1
SwMuon 2 pT: 140, eta: -0.054375, phi: 2.94524, Q: -1

Event 87 BX 110
